POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,season_year,team
1,Sachin Tendulkar,15,15,2,618,89*,47.53,466,132.61,0,5,86,3,2010,MI
2,Jacques Kallis,16,16,4,572,89*,47.66,494,115.78,0,6,67,9,2010,RCB
3,Suresh Raina,16,16,5,520,83*,47.27,364,142.85,0,4,45,22,2010,CSK
4,Sourav Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15,2010,KKR
5,Murali Vijay,15,15,2,458,127,35.23,292,156.84,1,2,36,26,2010,CSK
6,Mahela Jayawardena,13,13,3,439,110*,43.9,298,147.31,1,1,55,11,2010,PBKS
7,Andrew Symonds,16,16,2,429,54,30.64,341,125.8,0,4,35,18,2010,DEC
8,Saurabh Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18,2010,MI
9,Rohit Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14,2010,DEC
10,Naman Ojha,14,14,2,377,94*,31.41,285,132.28,0,2,42,15,2010,RR
11,Robin Uthappa,16,14,2,374,68*,31.16,218,171.55,0,3,21,27,2010,RCB
12,Kumar Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,47,5,2010,PBKS
13,Ambati Rayudu,14,14,1,356,55*,27.38,246,144.71,0,2,34,13,2010,MI
14,Virender Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,47,14,2010,DC
15,Subramaniam Badrinath,16,15,4,356,55*,32.36,303,117.49,0,2,41,5,2010,CSK
16,Matthew Hayden,16,16,0,346,93,21.62,279,124.01,0,1,37,16,2010,CSK
17,Yusuf Pathan,14,14,2,333,100,27.75,201,165.67,1,1,22,24,2010,RR
18,Tirumalasetti Suman,14,14,5,307,78*,34.11,257,119.45,0,2,23,12,2010,DEC
19,Virat Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12,2010,RCB
20,Chris Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16,2010,KKR
21,Adam Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1,31,16,2010,DEC
22,MS Dhoni,13,11,2,287,66*,31.88,210,136.66,0,2,26,8,2010,CSK
23,David Warner,11,11,1,282,107*,28.2,191,147.64,1,1,27,14,2010,DC
24,Michael Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6,2010,RR
25,Dinesh Karthik,14,14,1,278,69,21.38,237,117.29,0,1,26,6,2010,DC
26,Gautam Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,32,2,2010,DC
27,Irfan Pathan,14,13,5,276,60,34.5,186,148.38,0,1,21,10,2010,PBKS
28,Kieron Pollard,14,14,2,273,45*,22.75,147,185.71,0,0,23,17,2010,MI
29,Herschelle Gibbs,10,10,0,267,50,26.7,235,113.61,0,1,26,9,2010,DEC
30,Rahul Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3,2010,RCB
31,Yuvraj Singh,14,14,2,255,43,21.25,199,128.14,0,0,20,14,2010,PBKS
32,Manish Pandey,13,13,1,249,42*,20.75,226,110.17,0,0,27,7,2010,RCB
33,Ravi Bopara,10,9,1,248,77,31.0,214,115.88,0,2,25,3,2010,PBKS
34,Manoj Tiwary,13,11,2,237,75*,26.33,186,127.41,0,2,23,5,2010,KKR
35,Kevin Pietersen,7,7,3,236,66*,59.0,157,150.31,0,2,23,8,2010,RCB
36,Angelo Mathews,14,11,4,233,65*,33.28,184,126.63,0,1,18,8,2010,KKR
37,Manvinder Bisla,10,10,0,218,75,21.8,178,122.47,0,1,27,6,2010,PBKS
38,Paul Collingwood,8,7,2,203,75*,40.6,156,130.12,0,3,9,13,2010,DC
39,Albie Morkel,14,11,3,198,62,24.75,131,151.14,0,1,10,13,2010,CSK
40,Shikhar Dhawan,10,10,0,191,56,19.1,170,112.35,0,2,23,3,2010,MI
41,Shane Watson,6,5,0,185,60,37.0,114,162.28,0,2,18,9,2010,RR
42,Abhishek Jhunjhunwala,13,11,2,183,53*,20.33,166,110.24,0,1,16,4,2010,RR
43,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3,2010,RR
44,Mohnish Mishra,11,11,0,166,41,15.09,144,115.27,0,0,18,6,2010,DEC
45,Faiz Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1,2010,RR
46,JP Duminy,7,7,2,157,42*,31.4,131,119.84,0,0,13,5,2010,MI
47,Mithun Manhas,9,8,4,157,32*,39.25,149,105.36,0,0,14,0,2010,DC
48,Shaun Marsh,4,4,1,147,88*,49.0,114,128.94,0,2,14,6,2010,PBKS
49,Cheteshwar Pujara,10,6,2,122,45*,30.5,115,106.08,0,0,14,3,2010,KKR
50,Owais Shah,5,5,3,115,58*,57.5,95,121.05,0,1,7,5,2010,KKR
51,Brendon McCullum,5,5,1,114,57*,28.5,110,103.63,0,1,14,2,2010,KKR
52,Rajagopal Sathish,12,11,4,112,24,16.0,96,116.66,0,0,11,0,2010,MI
53,AB de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,7,0,2010,DC
54,Paras Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5,2010,RR
55,Harbhajan Singh,15,7,3,105,49*,26.25,63,166.66,0,0,12,5,2010,MI
56,Brad Hodge,4,4,0,99,50,24.75,90,110.0,0,1,11,1,2010,KKR
57,David Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5,2010,KKR
58,Ross Taylor,7,7,3,88,31*,22.0,75,117.33,0,0,2,6,2010,RCB
59,Kedar Jadhav,5,5,2,76,50*,25.33,56,135.71,0,1,7,2,2010,DC
60,Parthiv Patel,4,4,0,72,57,18.0,79,91.13,0,1,6,2,2010,CSK
61,Wriddhiman Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1,2010,KKR
62,Ryan McLaren,10,7,4,66,40,22.0,69,95.65,0,0,7,0,2010,MI
63,Andrew McDonald,4,3,3,65,33*,0.0,52,125.0,0,0,3,2,2010,DC
64,VVS Laxman,6,6,1,64,22,12.8,60,106.66,0,0,7,1,2010,DEC
65,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1,2010,DEC
66,Piyush Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0,2010,PBKS
67,Dwayne Bravo,10,8,1,61,23,8.71,53,115.09,0,0,3,4,2010,MI
68,Abhishek Nayar,3,3,1,58,27,29.0,51,113.72,0,0,4,2,2010,MI
69,Abhishek Raut,6,5,3,56,32*,28.0,48,116.66,0,0,3,3,2010,RR
70,Aditya Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3,2010,MI
71,Cameron White,7,5,3,48,21*,24.0,33,145.45,0,0,3,3,2010,RCB
72,Ryan Harris,8,5,1,45,15,11.25,39,115.38,0,0,2,2,2010,DEC
73,Graeme Smith,2,2,0,44,26,22.0,39,112.82,0,0,7,0,2010,RR
74,Tillakaratne Dilshan,6,6,0,44,17,7.33,53,83.01,0,0,6,0,2010,DC
75,Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1,2010,PBKS
76,Ajit Agarkar,7,4,3,40,17,40.0,29,137.93,0,0,4,0,2010,KKR
77,Amit Mishra,14,7,3,39,12,9.75,51,76.47,0,0,1,0,2010,DC
78,Michael Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0,2010,CSK
79,Laxmi Ratan Shukla,4,2,0,36,19,18.0,26,138.46,0,0,3,2,2010,KKR
80,Bodapati Sumanth,5,4,3,35,16,35.0,37,94.59,0,0,3,0,2010,DEC
81,Eoin Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1,2010,RCB
82,Aditya Dole,3,2,0,34,30,17.0,22,154.54,0,0,3,1,2010,RR
83,Venugopal Rao,6,5,1,34,24,8.5,43,79.06,0,0,3,1,2010,DEC
84,Daniel Vettori,3,3,2,33,19*,33.0,27,122.22,0,0,4,0,2010,DC
85,Sanath Jayasuriya,4,4,0,33,23,8.25,31,106.45,0,0,4,1,2010,MI
86,MF Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2,2010,DC
87,Chaminda Vaas,6,5,1,30,16,7.5,34,88.23,0,0,1,1,2010,DEC
88,Ravichandran Ashwin,12,6,2,30,11*,7.5,40,75.0,0,0,2,0,2010,CSK
89,Rahul Sharma,6,4,1,29,14*,9.66,26,111.53,0,0,3,1,2010,DEC
90,Mitchell Marsh,3,2,0,28,15,14.0,30,93.33,0,0,1,1,2010,DEC
91,Mohammad Kaif,4,3,0,28,14,9.33,30,93.33,0,0,2,0,2010,PBKS
